step,total_energy,energy_per_atom,energy_per_puo2,event_applied,accepted_event_kind,exact_delta_E_if_checked,predicted_delta_E,uncertainty,good_event_probability,total_rate,kmc_time,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,wall_time_s,steps_per_second
131,,,,0,rejected_coordination,0.5519090567848721,0.5519090567848721,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
132,,,,0,rejected_surface,0.881687128402632,0.881687128402632,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
133,,,,1,coordination,-0.002127113204394959,-0.002127113204394959,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
134,,,,1,random_bulk,-0.1178828462932131,-0.1178828462932131,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
135,,,,0,rejected_surface_compression,0.18913026661706667,0.18913026661706667,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
136,,,,0,rejected_coordination,0.26598828936982954,0.26598828936982954,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
137,,,,1,surface_compression,-0.11770875535678371,-0.11770875535678371,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
138,,,,0,rejected_coordination,0.42356806346450426,0.42356806346450426,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
139,,,,1,surface,0.07207257919927201,0.07207257919927201,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
140,,,,0,rejected_surface,0.4934495333041191,0.4934495333041191,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
141,,,,1,surface_compression,-0.034482940277456464,-0.034482940277456464,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
142,,,,1,surface_compression,0.0009666918672728286,0.0009666918672728286,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
143,,,,1,relaxation,-0.05669618401076448,-0.05669618401076448,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
144,,,,1,surface,-0.23143824457362783,-0.23143824457362783,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
145,,,,1,surface_compression,-0.005519703600391779,-0.005519703600391779,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
146,,,,1,random_surface,-0.22237208012793275,-0.22237208012793275,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
